word,reading,meanings,level
ダイヤ,,(1) dyer; (2) diagram; (3) (railway) schedule; (4) diamond,N3
タオル,,(hand) towel,N3
だから,だから,so; therefore,N3
だけど,,however,N3
ただ,,free of charge; mere; only,N3
だって,,but; because; even; also; too,N3
たっぷり,,full; in plenty; ample,N3
たとえ,,simile; metaphor; allegory,N3
たびたび,,often; repeatedly; frequently,N3
たまらない,,intolerable; unbearable; unendurable,N3
ダンス,,dance,N3
チーズ,,cheese,N3
チーム,,team,N3
チャンス,,chance; opportunity,N3
ちゃんと,,perfectly; properly; exactly,N3
ちょうだい,,(1) please do for me (preceded by -te); (2) reception; being given; get,N3
つまり,,in short; in brief; in other words,N3
で,,outflow; coming (going) out; graduate (of),N3
デート,,date; go on a date,N3
できる,（可能。出現。発生）,to be able to; to be ready; to occur,N3
ですから,,therefore,N3
では,では,chance of going out; opportunity (to succeed); moment of departure; beginning of work,N3
デモ,,(abbr) demo; demonstration,N3
でも,でも,but; however,N3
テント,,tent,N3
どう,（接。副）,child; servant; foolishness,N3
どうか,,copper coin,N3
どうしても,,by all means; at any cost; no matter what,N3
どこか,,somewhere; anywhere,N3
ところが,,however; while; even if,N3
ところで,,by the way; even if; no matter what,N3
トップ,,top,N3
とにかく,,anyhow; at any rate; anyway; somehow or other; generally speaking; in any case,N3
ドライブ,,drive; trip by car; driving,N3
トラック,,(1) truck; (2) (running) track,N3
ドラマ,,drama,N3
トランプ,,playing cards (lit: trump),N3
どれ,どれ,well; now; let me see; which (of three or more),N3
ドレス,,dress,N3
とん,（1000,ton,N3
とんでもない,,unexpected; offensive; What a thing to say!; No way!,N3
どんな,,what; what kind of,N3
どんなに,,how; how much,N3
トンネル,,tunnel,N3
なお,,straight; mischief; ordinary; common,N3
なかなか,,very; considerably; easily,N3
なぜなら,,because,N3
なにも,,nothing,N3
にっこり,,smile sweetly; smile; grin,N3
ね,（感）,value; price; cost; worth; merit,N3
ノック,,(1) knock; (2) fungo (baseball),N3
のんびり,,carefree; at leisure,N3
パーセント,,percent,N3
はい,（感）,wear; put on (sword),N3
バイオリン,,violin,N3
ハイキング,,hiking,N3
パイプ,,(1) pipe; tube; (2) channels; official or otherwise,N3
パイロット,,pilot,N3
はさみ,,scissors,N3
パス,,path; pass (in games),N3
パスポート,,passport,N3
バッグ,,bag; bug,N3
ばったり,,with a clash (thud); with a bang; plump; flop,N3
バン,,bun; van (caravan); VAN (value-added network),N3
ハンサム,,handsome,N3
ビール,,beer,N3
ピクニック,,picnic,N3
びっくり,,be surprised; be amazed; be frightened; astonishment,N3
ぴったり,,exactly; neatly; sharp,N3
ビデオ,,video,N3
ピン,,pin,N3
ふと,（副）,suddenly; casually; accidentally; incidentally; unexpectedly; unintentionally,N3
プラス,,plus,N3
プラン,,plan,N3
ブレーキ,,a brake,N3
プロ,,professional,N3
ベルト,,Belt for western clothes,N3
ペンキ,,(n) paint (nl: pek),N3
ベンチ,,bench,N3
ボーイ,,boy,N3
ボート,,rowing boat,N3
ホーム,,(1) platform; (2) home,N3
ボール,,ball; bowl,N3
ほぼ,,almost; roughly; approximately,N3
ぼんやり,,absent-minded; block-head; dim; faint; vague,N3
まあ,,(female) you might say,N3
マーケット,,market,N3
マイク,,mike,N3
まさか,,by no means,N3
まさに,,correctly; surely,N3
マスター,,proprietor; manager; barowner; master (e.g. arts; science),N3
ますます,,increasingly; more and more,N3
ママ,,Mama,N3
まるで,,quite; entirely; completely,N3
ミス,,miss (mistake; error; failure); Miss,N3
ミルク,,milk,N3
メモ,,memorandum,N3
メンバー,,member,N3
もしも,,if,N3
やがて,,before long; soon; at length,N3
やはり,,also; as I thought; still; in spite of; absolutely; of course,N3
やや,,a little; partially; somewhat; a short time; a while,N3
ユーモア,,humor,N3
ゆっくり,,slowly; at ease,N3
よい,,good; nice; pleasant; ok,N3
ヨーロッパ,,Europe,N3
ヨット,,yacht,N3
より,,twist; ply,N3
よると,,according to,N3
よろしく,（感）,well; properly; suitably; best regards; please remember me,N3
ライター,,lighter; rider; writer,N3
ラケット,,paddle; racket,N3
レポート,,report; paper,N3
ロケット,,locket; rocket,N3
ワイン,,wine,N3
わがまま,,selfishness; egoism; wilfulness; disobedience; whim,N3
わざと,,on purpose,N3
哀れ,あわれ,helpless; pity; sorrow; grief,N3
愛,あい,love,N3
愛する,あいする,to love,N3
愛情,あいじょう,love; affection,N3
挨拶,あいさつ,greeting; salutation,N3
悪口,わるくち,abuse; insult; slander; evil speaking,N3
悪魔,あくま,devil; demon; evil spirit,N3
握る,にぎる,to grasp; to seize; to mould sushi,N3
握手,あくしゅ,handshake,N3
扱う,あつかう,to handle; to deal with; to treat,N3
或,ある,a certain...; some...,N3
安定,あんてい,stability; equilibrium,N3
暗記,あんき,memorization; learning by heart,N3
案,あん,plan; suffix meaning draft,N3
案内,あんない,information; guidance; leading,N3
以前,いぜん,ago; since; before; previous,N3
以来,いらい,since; henceforth,N3
位,くらい,grade; rank; about,N3
位置,いち,place; situation; position; location,N3
依頼,いらい,(1) request; commission; dispatch; (2) dependence; trust,N3
偉大,いだい,greatness,N3
囲む,かこむ,to surround; to encircle,N3
委員,いいん,committee member,N3
意外,いがい,unexpected; surprising,N3
意志,いし,will; volition,N3
意思,いし,intention; purpose,N3
意識,いしき,consciousness; senses,N3
椅子,いす,chair,N3
為る,する,to change; to be of use; to reach to,N3
異なる,ことなる,to differ; to vary; to disagree,N3
異常,いじょう,strangeness; abnormality; disorder,N3
移す,うつす,to remove; to transfer; to infect,N3
移動,いどう,removal; migration; movement,N3
維持,いじ,maintenance; preservation,N3
胃,い,stomach,N3
衣服,いふく,clothes,N3
違い,ちがい,difference; discrepancy,N3
違いない,ちがいない,(phrase) sure; no mistaking it; for certain,N3
違反,いはん,violation (of law); transgression; infringement; breach,N3
医師,いし,doctor; physician,N3
医療,いりょう,medical care; medical treatment,N3
育つ,そだつ,to raise (child); to be brought up; to grow (up),N3
一家,いっか,a house; a home; a family; a household,N3
一言,ひとこと,single word,N3
一時,いちじ,moment; time,N3
一種,いっしゅ,a species; a kind; a variety,N3
一瞬,いっしゅん,a moment; an instant,N3
一人一人,ひとりひとり,one by one; each; one at a time,N3
一生,いっしょう,whole life; a lifetime; all through life,N3
一層,いっそう,much more; still more; all the more,N3
一体,いったい,(1) one object; one body; (2) what on earth?; really?; (3) generally,N3
一致,いっち,(1) coincidence; agreement; (2) conformity,N3
一度に,いちどに,all at once,N3
一般,いっぱん,general; liberal; universal; ordinary; average,N3
一番,いちばん,best; first; number one,N3
一方,いっぽう,(1) on the other hand; (2) meanwhile; (3) only; simple; in turn,N3
稲,いね,rice-plant,N3
印,しるし,(1) mark; (2) symbol; (3) evidence,N3
印刷,いんさつ,printing,N3
印象,いんしょう,impression,N3
引っ張る,ひっぱる,(1) to pull; to draw; to stretch; to drag; (2) to pull the ball (baseball),N3
引退,いんたい,retire,N3
引用,いんよう,quotation; citation,N3
陰,かげ,shade; shadow; other side,N3
隠す,かくす,to hide; to conceal,N3
隠れる,かくれる,to hide; to be hidden; to conceal oneself; to disappear,N3
宇宙,うちゅう,universe; cosmos; space,N3
羽,はね,counter for birds; counter for rabbits,N3
嘘,うそ,lie; falsehood; incorrect fact; inappropriate,N3
噂,うわさ,rumour; report; gossip; common talk,N3
運,うん,fortune; luck,N3
運転,うんてん,operation; motion; driving,N3
運動,うんどう,motion; exercise,N3
餌,えさ,feed; bait,N3
営業,えいぎょう,business; trade; management,N3
影,かげ,shade; shadow; other side,N3
影響,えいきょう,influence; effect,N3
栄養,えいよう,nutrition; nourishment,N3
永遠,えいえん,eternity; perpetuity; immortality; permanence,N3
永久,えいきゅう,eternity; perpetuity; immortality,N3
泳ぎ,およぎ,swimming,N3
衛星,えいせい,satellite,N3
鋭い,するどい,pointed; sharp,N3
越える,こえる,to exceed; to cross over; to cross,N3
越す,こす,to go over (e.g. with audience),N3
円,えん,circle; money,N3
延期,えんき,postponement; adjournment,N3
援助,えんじょ,assistance; aid; support,N3
演技,えんぎ,acting; performance,N3
演説,えんぜつ,speech; address,N3
演奏,えんそう,musical performance,N3
炎,ほのお,flame,N3
煙,けむり,smoke; fumes,N3
猿,さる,monkey,N3
縁,ふち,a means; e.g. of living,N3
遠慮,えんりょ,diffidence; restraint; reserve,N3
汚染,おせん,pollution; contamination,N3
奥,おく,interior; inner part,N3
応じる,おうじる,to respond; to satisfy; to accept; to comply with; to apply for,N3
横切る,よこぎる,to cross (e.g. arms); to traverse,N3
横断,おうだん,crossing,N3
王,おう,king; ruler; sovereign; monarch,N3
王子,おうじ,prince,N3
王様,おうさま,king,N3
沖,おき,open sea,N3
屋根,やね,roof,N3
恩,おん,favour; obligation; debt of gratitude,N3
温暖,おんだん,warmth,N3
温度,おんど,temperature,N3
穏やか,おだやか,calm; gentle; quiet,N3
音,おん,sound; note,N3
下,げ,under; below; beneath,N3
下さる,くださる,(hon) to give; to confer,N3
下す,おろす,to lower; to let go down,N3
下り,くだり,down-train (going away from Tokyo),N3
化学,かがく,chemistry,N3
化粧,けしょう,make-up (cosmetic),N3
何,なに,what,N3
何か,なにか,something,N3
何で,なんで,Why?; What for?,N3
何でも,なんでも,by all means; everything,N3
何とか,なんとか,somehow; anyhow; one way or another,N3
価格,かかく,price; value; cost,N3
価値,かち,value; worth; merit,N3
加える,くわえる,to append; to sum up; to add (up),N3
加わる,くわわる,to join in; to accede to; to increase; to gain in (influence),N3
加減,かげん,addition and subtraction; allowance for,N3
可,か,passable,N3
可能,かのう,possible; practicable; feasible,N3
嫁,よめ,bride; daughter-in-law,N3
家具,かぐ,furniture,N3
家事,かじ,housework; domestic chores,N3
家賃,やちん,rent,N3
科目,かもく,(school) subject; curriculum; course,N3
歌手,かしゅ,singer,N3
河,かわ,river; stream,N3
火災,かさい,conflagration; fire,N3
火曜,かよう,(abbr) Tuesday,N3
稼ぐ,かせぐ,to earn income; to labor,N3
菓子,かし,pastry,N3
課,か,counter for chapters (of a book),N3
過ごす,すごす,to pass; to spend; to go through; to tide over,N3
過去,かこ,the past; bygone days; the previous,N3
我々,われわれ,we,N3
我慢,がまん,patience; endurance; perseverance,N3
画家,がか,painter; artist,N3
芽,め,sprout,N3
会,かい,meeting; assembly; party; association; club,N3
会員,かいいん,member; the membership,N3
会計,かいけい,account; finance; accountant,N3
会合,かいごう,meeting; assembly,N3
解く,とく,to unfasten,N3
解ける,とける,to come untied; to come apart,N3
解決,かいけつ,settlement; solution; resolution,N3
解釈,かいしゃく,explanation; interpretation,N3
回,かい,counter for occurrences,N3
回す,まわす,to turn; to revolve,N3
回り,まわり,circumference; surroundings; circulation,N3
回復,かいふく,recovery (from illness); improvement; rehabilitation; restoration,N3
快適,かいてき,pleasant; agreeable; comfortable,N3
怪我,けが,injury (to animate object); hurt,N3
改善,かいぜん,betterment; improvement,N3
海外,かいがい,foreign; abroad; overseas,N3
灰,はい,ash,N3
皆,みんな,all; everyone; everybody,N3
絵画,かいが,picture,N3
開始,かいし,start; commencement; beginning,N3
外,ほか,other place; the rest,N3
外す,はずす,to unfasten; to remove,N3
外交,がいこう,diplomacy,N3
外出,がいしゅつ,outing; going out,N3
咳,せき,cough,N3
害,がい,injury; harm; evil influence; damage,N3
街,まち,(1) town; (2) street; road,N3
拡大,かくだい,magnification; enlargement,N3
格好,かっこう,shape; form; posture; suitability,N3
確かめる,たしかめる,to ascertain,N3
確実,かくじつ,certainty; reliability; soundness,N3
確認,かくにん,affirmation; confirmation,N3
覚ます,さます,to awaken,N3
覚める,さめる,to wake; to wake up,N3
覚悟,かくご,resolution; resignation; readiness; preparedness,N3
角,すみ,horn,N3
革,かわ,leather,N3
学,がく,learning; scholarship; erudition; knowledge,N3
学ぶ,まなぶ,to study (in depth); to learn; to take lessons in,N3
学期,がっき,term (school),N3
学者,がくしゃ,scholar,N3
学習,がくしゅう,study; learning,N3
学問,がくもん,scholarship; study; learning,N3
楽,らく,comfort; ease,N3
額,がく,forehead; brow,N3
掛かる,かかる,to take (e.g. time; money; etc); to hang,N3
割る,わる,to divide; to cut; to break; to halve,N3
活気,かっき,energy; liveliness,N3
活動,かつどう,action; activity,N3
活用,かつよう,conjugation; practical use,N3
株,かぶ,share; stock; stump (of tree),N3
刈る,かる,to cut (hair); to mow (grass); to harvest,N3
勘,かん,perception; intuition; the sixth sense,N3
勘定,かんじょう,calculation; counting; consideration,N3
勧める,すすめる,to recommend; to advise; to encourage; to offer (wine),N3
完成,かんせい,(1) complete; completion; (2) perfection; accomplishment,N3
完全,かんぜん,perfection; completeness,N3
完了,かんりょう,completion; conclusion,N3
患者,かんじゃ,a patient,N3
感じ,かんじ,feeling; sense; impression,N3
感じる,かんじる,to feel; to sense; to experience,N3
感覚,かんかく,sense; sensation,N3
感謝,かんしゃ,thanks; gratitude,N3
感情,かんじょう,emotion(s); feeling(s); sentiment,N3
感心,かんしん,admiration; Well done!,N3
感動,かんどう,being deeply moved; excitement; impression; deep emotion,N3
換える,かえる,to exchange; to interchange; to substitute; to replace,N3
歓迎,かんげい,welcome; reception,N3
汗,あせ,sweat; perspiration,N3
環境,かんきょう,environment; circumstance,N3
監督,かんとく,supervision; control; superintendence,N3
管,くだ,pipe; tube,N3
管理,かんり,control; management (e.g. of a business),N3
缶,かん,can; tin,N3
観客,かんきゃく,audience; spectator(s),N3
観光,かんこう,sightseeing,N3
観察,かんさつ,observation; survey,N3
間,ま,space; room; time; pause,N3
間違い,まちがい,mistake,N3
関する,かんする,to concern; to be related,N3
関心,かんしん,concern; interest,N3
関連,かんれん,relation; connection; relevance,N3
丸,まる,circle; full (month); perfection; purity; suffix for ship names,N3
丸い,まるい,round; circular; spherical,N3
含む,ふくむ,to hold in the mouth; to bear in mind,N3
岸,きし,bank; coast; shore,N3
岩,いわ,rock; crag,N3
願い,ねがい,desire; wish; request,N3
願う,ねがう,to desire; to wish; to request,N3
企業,きぎょう,enterprise; undertaking,N3
喜び,よろこび,(a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations,N3
器用,きよう,skillful; handy,N3
基,もと,basis,N3
基づく,もとづく,to be grounded on; to be based on; to be due to; to originate from,N3
基本,きほん,foundation; basis; standard,N3
奇妙,きみょう,strange; queer; curious,N3
嬉しい,うれしい,happy; glad; pleasant,N3
寄付,きふ,contribution; donation,N3
希望,きぼう,hope; wish; aspiration,N3
幾つ,いくつ,how many?; how old?,N3
幾ら,いくら,how much?; how many?,N3
旗,はた,flag,N3
既に,すでに,already; too late,N3
期間,きかん,period; term,N3
期待,きたい,expectation; anticipation; hope,N3
機械,きかい,machine; mechanism,N3
機関,きかん,organ; mechanism; facility; engine,N3
機嫌,きげん,humour; temper; mood,N3
機能,きのう,function; faculty,N3
帰宅,きたく,returning home,N3
気に入る,きにいる,to be pleased with; to suit,N3
気の毒,きのどく,pitiful; a pity,N3
気温,きおん,temperature,N3
気候,きこう,climate,N3
気付く,きづく,to notice; to recognize; to become aware of,N3
気味,きみ,-like; -looking; -looked,N3
記憶,きおく,memory; recollection; remembrance,N3
記事,きじ,article; news story; report; account,N3
記者,きしゃ,reporter,N3
記入,きにゅう,entry; filling in of forms,N3
記念,きねん,commemoration; memory,N3
記録,きろく,record; minutes; document,N3
貴重,きちょう,precious; valuable,N3
起こる,おこる,to occur; to happen,N3
輝く,かがやく,to shine; to glitter; to sparkle,N3
鬼,おに,ogre; demon; it (i.e.; in a game of tag),N3
宜しい,よろしい,(hon) good; OK; all right; fine; very well; will do; may; can,N3
技師,ぎし,engineer; technician,N3
疑う,うたがう,to doubt; to distrust; to be suspicious of; to suspect,N3
疑問,ぎもん,question; problem; doubt; guess,N3
義務,ぎむ,duty; obligation; responsibility,N3
議員,ぎいん,member of the Diet; congress or parliament,N3
議会,ぎかい,Diet; congress; parliament,N3
議長,ぎちょう,chairman,N3
議論,ぎろん,argument; discussion; dispute,N3
詰める,つめる,to pack; to shorten; to work out (details),N3
逆,ぎゃく,reverse; opposite,N3
逆らう,さからう,to go against; to oppose; to disobey; to defy,N3
丘,おか,hill; height; knoll; rising ground,N3
休暇,きゅうか,holiday; day off; furlough,N3
休憩,きゅうけい,rest; break; recess; intermission,N3
及ぼす,およぼす,to exert; to cause; to exercise,N3
吸収,きゅうしゅう,absorption; suction; attraction,N3
急激,きゅうげき,sudden; precipitous; radical,N3
急速,きゅうそく,rapid (e.g. progress),N3
救う,すくう,to rescue from; to help out of,N3
救助,きゅうじょ,relief; aid; rescue,N3
求める,もとめる,to seek; to request; to demand; to want; to wish for; to search for; to pursue (pleasure); to hunt (a job),N3
球,きゅう,globe; sphere; ball,N3
級,きゅう,class; grade; rank; school class; grade,N3
給料,きゅうりょう,salary; wages,N3
旧,きゅう,ex-,N3
牛,うし,cattle; cow,N3
去る,さる,to leave; to go away,N3
居る,おる,to be (animate); to be; to exist,N3
居間,いま,living room (western style),N3
居眠り,いねむり,dozing; nodding off,N3
巨大,きょだい,huge; gigantic; enormous,N3
許す,ゆるす,to permit; to allow; to approve,N3
許可,きょか,permission; approval,N3
魚,うお,fish,N3
供給,きょうきゅう,supply; provision,N3
競技,きょうぎ,game; match; contest,N3
共に,ともに,sharing with; participate in,N3
共通,きょうつう,commonness; community,N3
共同,きょうどう,cooperation; association; collaboration; joint,N3
協力,きょうりょく,cooperation; collaboration,N3
叫ぶ,さけぶ,to shout; to cry,N3
境,さかい,border; boundary; mental state,N3
強調,きょうちょう,emphasis; stress; stressed point,N3
強盗,ごうとう,robbery; burglary,N3
強力,きょうりょく,herculean strength; mountain carrier-guide,N3
恐れる,おそれる,to fear; to be afraid of,N3
恐ろしい,おそろしい,terrible; dreadful,N3
恐怖,きょうふ,be afraid; dread; dismay; terror,N3
教科書,きょうかしょ,text book,N3
教師,きょうし,teacher (classroom),N3
教授,きょうじゅ,teaching; instruction; professor,N3
狂う,くるう,to go mad; to get out of order,N3
胸,むね,breast; chest,N3
局,きょく,court lady; lady in waiting,N3
極,ごく,quite; very,N3
玉,たま,ball; sphere; coin,N3
僅か,わずか,only; merely; a little; small quantity,N3
勤め,つとめ,(1) service; duty; business; responsibility; task; (2) Buddhist religious services,N3
禁煙,きんえん,No Smoking!,N3
禁止,きんし,prohibition; ban,N3
筋,すじ,muscle; string; line,N3
筋肉,きんにく,muscle; sinew,N3
緊張,きんちょう,tension; mental strain; nervousness,N3
近頃,ちかごろ,lately; recently; nowadays,N3
近代,きんだい,present day,N3
金,かね,(1) gold; (2) gold general (shogi) (abbr),N3
金額,きんがく,amount of money,N3
金庫,きんこ,safe; vault; treasury; provider of funds,N3
金持ち,かねもち,rich man,N3
金銭,きんせん,money; cash,N3
金属,きんぞく,metal,N3
金融,きんゆう,monetary circulation; credit situation,N3
金曜,きんよう,(abbr) Friday,N3
銀,ぎん,(1) silver; silver coin; silver paint,N3
九,きゅう,nine,N3
句,く,sentence,N3
区別,くべつ,distinction; differentiation; classification,N3
苦しい,くるしい,painful; difficult,N3
苦しむ,くるしむ,to suffer; to groan; to be worried,N3
苦手,にがて,poor (at); weak (in); dislike (of),N3
苦痛,くつう,pain; agony,N3
苦労,くろう,troubles; hardships,N3
具体,ぐたい,concrete; tangible; material,N3
空,から,sky,N3
空き,あき,room; time to spare; emptiness,N3
空く,すく,(1) to open; to become empty; (2) to be less crowded,N3
偶,たま,even number; couple; man and wife; friend,N3
偶々,たまたま,casually; unexpectedly; accidentally; by chance,N3
偶然,ぐうぜん,(by) chance; unexpectedly; suddenly,N3
繰り返す,くりかえす,to repeat; to do something over again,N3
訓,くん,native Japanese reading of a Chinese character,N3
訓練,くんれん,practice; training,N3
軍,ぐん,army; force; troops,N3
軍隊,ぐんたい,army; troops,N3
係,かかり,official; duty; person in charge,N3
傾向,けいこう,tendency; trend; inclination,N3
刑事,けいじ,criminal case; (police) detective,N3
型,かた,mold; model; style; shape; data-type,N3
契約,けいやく,contract; compact; agreement,N3
掲示,けいじ,notice; bulletin,N3
敬意,けいい,respect; honour,N3
景気,けいき,condition; state; business (condition),N3
経つ,たつ,to pass; to lapse,N3
経営,けいえい,management; administration,N3
経験,けいけん,experience,N3
経由,けいゆ,go by the way; via,N3
繋ぐ,つなぐ,to tie; to fasten; to connect; to transfer (phone call),N3
計,けい,plan,N3
計る,はかる,to measure; to weigh; to survey,N3
計画,けいかく,plan; project; schedule; scheme; program,N3
計算,けいさん,calculation; reckoning,N3
警告,けいこく,warning; advice,N3
芸術,げいじゅつ,(fine) art; the arts,N3
迎え,むかえ,meeting; person sent to pick up an arrival,N3
劇,げき,drama; play,N3
劇場,げきじょう,theatre; playhouse,N3
撃つ,うつ,to attack; to defeat; to destroy,N3
激しい,はげしい,violent; vehement; intense,N3
欠ける,かける,to be lacking,N3
欠陥,けっかん,defect; fault; deficiency,N3
欠席,けっせき,absence; non-attendance,N3
欠点,けってん,faults; defect; weakness,N3
決まり,きまり,settlement; conclusion; regulation; rule,N3
決心,けっしん,determination; resolution,N3
決定,けってい,decision; determination,N3
穴,あな,hole,N3
結ぶ,むすぶ,to tie; to bind; to link,N3
結果,けっか,result; consequence,N3
結局,けっきょく,after all; eventually,N3
結論,けつろん,conclusion,N3
月,つき,moon; month,N3
月曜,げつよう,Monday,N3
健康,けんこう,health; sound; wholesome,N3
券,けん,ticket; coupon; bond; certificate,N3
喧嘩,けんか,quarrel; (drunken) brawl; failure,N3
嫌う,きらう,to hate; to dislike; to loathe,N3
建設,けんせつ,construction; establishment,N3
建築,けんちく,construction; architecture,N3
憲法,けんぽう,constitution,N3
検査,けんさ,inspection (e.g. customs; factory); examination,N3
検討,けんとう,consideration; examination; investigation; study; scrutiny,N3
権利,けんり,right; privilege,N3
県,けん,prefecture,N3
肩,かた,shoulder,N3
見る,みる,to see; to watch,N3
見解,けんかい,opinion; point of view,N3
見事,みごと,splendid; magnificent; beautiful; admirable,N3
見送り,みおくり,seeing one off; farewell; escort,N3
見当,けんとう,be found; aim; estimate; guess; approx,N3
見舞い,みまい,enquiry; expression of sympathy; expression of concern,N3
賢い,かしこい,wise; clever; smart,N3
軒,けん,eaves,N3
鍵,かぎ,key,N3
元,もと,(1) origin; original; (2) former,N3
原,はら,field; plain; prairie; tundra; moor; wilderness,N3
減らす,へらす,to abate; to decrease; to diminish; to shorten,N3
減る,へる,to decrease (in size or number); to diminish; to abate,N3
現す,あらわす,to show; to indicate; to display,N3
現れ,あらわれ,embodiment; materialization,N3
現れる,あらわれる,(1) to appear; to come in sight; to become visible; (2) to express oneself,N3
現金,げんきん,cash; ready money; mercenary; self-interested,N3
現在,げんざい,present; up to now; nowadays; modern times; current,N3
現実,げんじつ,reality,N3
現象,げんしょう,phenomenon,N3
現場,げんば,actual spot; scene; scene of the crime,N3
現状,げんじょう,present condition; existing state; status quo,N3
現代,げんだい,nowadays; modern times; present-day,N3
言う,ゆう,to say,N3
言わば,いわば,so to speak,N3
言語,げんご,language,N3
諺,ことわざ,proverb; maxim,N3
限る,かぎる,to restrict; to limit; to confine,N3
